EnhancerID	Gene_geneID	EnhancerDistance	PROseq_Classification	ATACseq_Classification	UNIPROTname	geneFunc	geneName	geneFuncFullText
Region2534	FBgn0034013	3403	Time Up	Toll10b Up	Q95TU8	Netrin receptor unc-5	unc-5	<ul><li>Receptor for netrin required for motor axon guidance. Mediates both short- and long-range axon motor repulsion in the developing nervous system upon ligand binding. Also involved in glial migration. While short-range repulsion requires both fra and unc-5, long-range repulsion only requires unc-5.</ul>
Region2578	FBgn0264089	1502	Toll10b Down	Toll9 Down	P24014	Protein slit	sli	<ul><li>A short-range repellent, controlling axon crossing of the midline and a long-range chemorepellent, controlling mesoderm migration and patterning away from the midline. May interact with extracellular matrix molecules. Repulsive ligand for the guidance receptor roundabout (robo) and prevents inappropriate midline crossing by Robo-expressing axons.</ul>
Region2625	FBgn0262511	2463	Toll9 Down	Toll10b Up	Q9V7N5	V-type proton ATPase subunit C	Vha44	<ul><li>Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. In enterocytes, acts as part of a pHCl-2 sensory pathway which mediates Tor-dependent larval growth and metabolism in response to zinc availability (PubMed:32269334). Likely acts in maintaining enterocyte lysosomal acidification which consequently promotes Tor activation at the lysosome membrane (PubMed:32269334).</ul>
Region2723	FBgn0259211	3527	Toll10b Down	Toll10b Down	P13002	Protein grainyhead	grh	<ul><li>Binds a CNS-specific regulatory element of the Dopa decarboxylase (Ddc) gene. Also interacts with sequences adjacent to other transcription units, including Ultrabithorax (Ubx) and engrailed (en). Activity in vivo may be required only at high levels transiently to activate the expression of Ddc in the CNS.</ul>
Region2762	FBgn0034327	1641	Toll9 Up	Time Down	Q9V8F3	Protein GSKIP homolog		<ul><li></ul>
Region3036	FBgn0010228	4068	Toll9 Up	Time Up	Q06943	High mobility group protein Z	HmgZ	<ul><li></ul>
Region3037	FBgn0010228	5775	Toll9 Up	Toll10b Up	Q06943	High mobility group protein Z	HmgZ	<ul><li></ul>
Region3541	FBgn0263392	7119	Toll9 Up	Time Up	M9NEY8	DNA N6-methyl adenine demethylase	Tet	<ul><li>Dioxygenase that specifically demethylates DNA methylated on the 6th position of adenine (N(6)-methyladenosine) DNA. N(6)-methyladenosine (m6A) DNA is present at a relatively high level at the very earliest embryonic stages but at low levels at the late embryonic stages and may act as a regulator of gene expression. Promotes differentiation of early germ cells in ovary.</ul>
Region3804	FBgn0265296	4140	Toll9 Up	Toll9 Up	Q9VS29	Down syndrome cell adhesion molecule-like protein Dscam2	Dscam2	<ul><li>Cell adhesion molecule.</ul>
Region3944	FBgn0035965	27639	Time Up	Gd7 Down	Q9VSU7	Vesicle transport protein USE1	Use1	<ul><li>SNARE that may be involved in targeting and fusion of Golgi-derived retrograde transport vesicles with the ER (By similarity). Required for protein secretion.</ul>
Region4267	FBgn0036397	1945	Time Down	Time Up	Q9VUB4	GATOR complex protein NPRL3	Nprl3	<ul><li>An essential component of the GATOR subcomplex GATOR1 which functions as an inhibitor of the amino acid-sensing branch of the TORC1 signaling pathway (PubMed:23723238, PubMed:27166823, PubMed:25512509). The two GATOR subcomplexes, GATOR1 and GATOR2, regulate the TORC1 pathway in order to mediate metabolic homeostasis, female gametogenesis and the response to amino acid limitation and complete starvation (PubMed:23723238, PubMed:27166823, PubMed:25512509). The function of GATOR1 in negatively regulating the TORC1 pathway is essential for maintaining baseline levels of TORC1 activity under nutrient rich conditions, and for promoting survival during amino acid or complete starvation by inhibiting TORC1-dependent cell growth and promoting catabolic metabolism and autophagy (PubMed:23723238, PubMed:27166823). In addition, this inhibition of TORC1 is necessary to maintain female fertility under normal conditions and during periods of nutrient stress (PubMed:24786828, PubMed:27672113, PubMed:25512509). GATOR1 and GATOR2 act at different stages of oogenesis to regulate TORC1 in order to control meiotic entry and promote oocyte growth and development (PubMed:25512509). After exactly four mitotic cyst divisions, the GATOR1 complex members (Iml1, Nprl2 and Nprl3) down-regulate TORC1 to slow cellular metabolism and promote the mitotic/meiotic transition (PubMed:25512509). At later stages of oogenesis, the mio and Nup44A components of the GATOR2 complex inhibit GATOR1 and thus activate TORC1 to promote meiotic progression, and drive oocyte growth and development (PubMed:25512509).</ul>
Region4284	FBgn0000411	23822	Gd7 Down	Toll9 Up	Q24533	SOX domain-containing protein dichaete	D	<ul><li>Essential for segmentation and CNS development. May modulate the actions of other transcription factors, including gap and pair-rule proteins.</ul>
Region4458	FBgn0263601	4704	Gd7 Down	Toll9 Up	Q9VUX2	E3 ubiquitin-protein ligase mind-bomb	mib1	<ul><li>E3 ubiquitin-protein ligase that mediates ubiquitination of Delta (Dl) and Serrate (Ser) receptors, which act as ligands of Notch proteins. Positively regulates the Notch signaling by ubiquitinating the intracellular domain of Dl and Ser, leading to endocytosis of Dl and Ser receptors. Regulates a subset of Notch signaling events, including wing margin specification, leg segmentation and vein determination, that are distinct from those events requiring neuralize (neur) activity. Also modulates lateral inhibition, a neur- and Dl-dependent signaling event, suggesting a distinct but partially complementary function with neur.</ul>
Region4466	FBgn0260635	3368	Toll9 Up	Time Up	Q24306	Death-associated inhibitor of apoptosis 1	Diap1	<ul><li>Anti-apoptotic protein which functions as a caspase regulator, using its E3 ubiquitin-protein ligase activity to smother caspase activity. Binds, ubiquitinates and inactivates initiator caspase Dronc, and effector caspases Drice and Dcp-1. Acts as a Nedd8-E3 ubiquitin-protein ligase for Drice. Suppresses apoptosis by targeting the apoptosome for ubiquitination and inactivation. Plays an important role in cell motility. Overexpression suppresses rpr and hid-dependent cell death in the eye. Interaction of Diap1 with Dronc is required to suppress Dronc-mediated cell death through Diap1-mediated ubiquitination of Dronc. Acts as a positive regulator of Wnt signaling.</ul>
Region4467	FBgn0260635	5110	Toll9 Up	Toll10b Up	Q24306	Death-associated inhibitor of apoptosis 1	Diap1	<ul><li>Anti-apoptotic protein which functions as a caspase regulator, using its E3 ubiquitin-protein ligase activity to smother caspase activity. Binds, ubiquitinates and inactivates initiator caspase Dronc, and effector caspases Drice and Dcp-1. Acts as a Nedd8-E3 ubiquitin-protein ligase for Drice. Suppresses apoptosis by targeting the apoptosome for ubiquitination and inactivation. Plays an important role in cell motility. Overexpression suppresses rpr and hid-dependent cell death in the eye. Interaction of Diap1 with Dronc is required to suppress Dronc-mediated cell death through Diap1-mediated ubiquitination of Dronc. Acts as a positive regulator of Wnt signaling.</ul>
Region4686	FBgn0016797	21174	Gd7 Down	Toll10b Down	Q9VVX3	Frizzled-2	fz2	<ul><li>Receptor for Wnt proteins. Most of frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Required to coordinate the cytoskeletons of epidermal cells to produce a parallel array of cuticular hairs and bristles.</ul>
Region4687	FBgn0016797	24090	Gd7 Down	Gd7 Down	Q9VVX3	Frizzled-2	fz2	<ul><li>Receptor for Wnt proteins. Most of frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Required to coordinate the cytoskeletons of epidermal cells to produce a parallel array of cuticular hairs and bristles.</ul>
Region4765	FBgn0028978	4049	Time Down	Toll9 Up	Q9V3Z1	Tribbles	trbl	<ul><li>Adapter protein that negatively regulates different signaling pathways to coordinate cell differentiation, proliferation, migration and growth (PubMed:10837248, PubMed:10850493, PubMed:10850494, PubMed:10949024, PubMed:23305818, PubMed:25329475). Functions by binding to key regulatory proteins and either blocks their activity or regulates their turnover by the proteasome (PubMed:10837248, PubMed:10850493, PubMed:10850494, PubMed:10949024, PubMed:23305818, PubMed:25329475). In various developing tissues functions as a cell cycle regulator that mediates cell proliferation according to the requirements of the developmental program (PubMed:10850493, PubMed:10850494, PubMed:10837248, PubMed:15581871). Acts by inducing the proteasomal degradation of the CD25 mitotic activators stg and twe at critical stages of development to delay entry into mitosis and thus mediate cell proliferation (PubMed:10850493, PubMed:10850494, PubMed:10837248, PubMed:15581871, PubMed:23290551, PubMed:29025897). During gastrulation, negatively regulates stg to delay mitosis in the ventral region of the embryonic mesoderm thus allowing invagination to be completed before cell division takes place (PubMed:10837248, PubMed:10850493, PubMed:10850494). Delaying stg-dependent mitosis during bristle development and in migrating germline pole cells also arrests their cell divisions, whereas in cystocytes it promotes their cell divisions (PubMed:10837248, PubMed:10850493, PubMed:15581871). Involved in the regulation of the mid-blastula transition; promotes the destruction of twe resulting in the cell cycle arrest in G2 of cycle 14 which delays mitosis and thus reduces cell proliferation allowing cell fate specification and morphogenesis to take place (PubMed:23290551). In germline cells, blocks border cell migration during oogenesis by binding to slbo/C/EBP and promoting its ubiquitination and degradation by the proteasome (PubMed:23305818, PubMed:10949024, PubMed:29025897). May function in a negative feedback loop with slbo to coordinate proper border cell migration (PubMed:23305818). During tissue growth negatively regulates insulin signaling by binding to Akt1 and blocking its phosphorylation-dependent activation (PubMed:25329475, PubMed:29025897). However it may also function downstream in the insulin signaling pathway, acting with Akt1 to direct foxo degradation (PubMed:25329475). Essential for the proper formation of operant place and aversive olfactory memories (PubMed:18430923, PubMed:28669782).</ul>
Region5154	FBgn0037265	1582	Time Down	Toll9 Up	Q9VN45	Protein spartin	spartin	<ul><li>During postembryonic development, functions with endocytic adapter Eps-15 in neurons to restrain synaptic growth, by inhibiting BMP signaling, and to control synaptic endocytosis. Required presynaptically for neuromuscular junction (NMJ) neurotransmission. Inhibits neuronal BMP signaling by promoting endocytic internalization and subsequent endosomal trafficking of the BMP receptor wit. In this way, regulates the Fmr1 translational regulator controlling Futsch expression to modulate neuronal microtubule stability, which controls both synaptogenesis and neuronal survival.</ul>
Region5201	FBgn0004436	41389	Time Up	Toll9 Up	P25153	Ubiquitin-conjugating enzyme E2-17 kDa	Ubc6	<ul><li>Catalyzes the covalent attachment of ubiquitin to other proteins. Required for postreplication repair of UV-damaged DNA (PubMed:1902572). Involved in the negative regulation of the Ras/MAPK signaling pathway in the wing by acting with the putative E3 ligases poe, Kcmf1 and Ufd4 to mediate the ubiquitination and proteasomal degradation of rl/MAPK (PubMed:27552662).</ul>
Region5692	FBgn0001235	13236	Toll9 Up	Toll9 Up	O46339	Homeobox protein homothorax	hth	<ul><li>All isoforms are required for patterning of the embryonic cuticle. Acts with exd to delimit the eye field and prevent inappropriate eye development. Isoforms that carry the homeodomain are required for proper localization of chordotonal organs within the peripheral nervous system and antennal identity; required to activate antennal-specific genes, such as sal and to repress the leg-like expression of dac. Necessary for the nuclear localization of the essential HOX cofactor, extradenticle (exd). Both necessary and sufficient for inner photoreceptors to adopt the polarization-sensitive 'dorsal rim area' (DRA) of the eye fate instead of the color-sensitive default state. This occurs by increasing rhabdomere size and uncoupling R7-R8 communication to allow both cells to express the same opsin rather than different ones as required for color vision.</ul>
Region6190	FBgn0000014	36700	Toll9 Up	Time Down	P29555	Homeobox protein abdominal-A	abd-A	<ul><li>Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis. Required for segmental identity of the second through eighth abdominal segments. Once a pattern of abd-A expression is turned on in a given parasegment, it remains on the more posterior parasegment, so that the complex pattern of expression is built up in the successive parasegments. Appears to repress expression of Ubx whenever they appear in the same cell, but abd-A is repressed by Abd-B only in the eight and ninth abdominal segments.</ul>
Region6546	FBgn0011766	13643	Gd7 Down	Time Up	Q27368	Transcription factor E2f1	E2f1	<ul><li>Transcriptional activator that binds to E2f sites. Required for wild-type growth in mitotic and polytene tissues, Contributes to the expression of replication genes at the G1-S transition and Cyclin E. Activates cell proliferation in wing imaginal disk, which requires expression of vg.</ul>
Region6991	FBgn0029176	4836	Toll9 Down	Time Up	Q9NJH0	Elongation factor 1-gamma	eEF1gamma	<ul><li>Probably plays a role in anchoring the complex to other cellular components.</ul>
Region7834	FBgn0003285	24310	Toll9 Down	Time Up	Q08180	Irregular chiasm C-roughest protein	rst	<ul><li>Required for correct axonal pathway formation in the optic lobe and for programmed cell death in the developing retina.</ul>
Region8288	FBgn0264975	14336	Time Up	Time Up	P20241	Neuroglian	Nrg	<ul><li>The long isoform may play a role in neural and glial cell adhesion in the developing embryo. The short isoform may be a more general cell adhesion molecule involved in other tissues and imaginal disk morphogenesis. Vital for embryonic development. Essential for septate junctions. Septate junctions, which are the equivalent of vertebrates tight junctions, are characterized by regular arrays of transverse structures that span the intermembrane space and form a physical barrier to diffusion. Required for the blood-brain barrier formation.</ul>
Region8723	FBgn0020909	1714	Toll9 Down	Time Up	P56175	Probable RNA 3'-terminal phosphate cyclase-like protein	Rtc1	<ul><li>Does not have cyclase activity. Plays a role in 40S-ribosomal-subunit biogenesis in the early pre-rRNA processing steps at sites A0, A1 and A2 that are required for proper maturation of the 18S RNA (By similarity).</ul>
Region9233	FBgn0027334	12744	Toll10b Up	Gd7 Down	Q9VR89	RNA-binding protein pno1	l(1)G0004	<ul><li></ul>
