Enhancer_ID	Gene_geneID	EnhancerDistance	PROseq_Classification	ATACseq_Classification	UNIPROTname	geneFunc	geneName	geneFuncFullText
Region1610	FBgn0003866	40656	Time Up	Time Down	P22265	Protein teashirt	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1696	FBgn0260798	12496	Toll9 Up	Time Down	P32865	G protein-coupled receptor kinase 1	Gprk1	<ul><li>Specifically phosphorylates the activated forms of G protein-coupled receptors.</ul>
Region1697	FBgn0046692	1694	Toll10b Down	Toll9 Up	P83098	Putative serine/threonine-protein kinase STE20-like	Stlk	<ul><li></ul>
Region1701	FBgn0026401	1628	Toll9 Up	Toll9 Up	Q7PLI2	Nipped-B protein	Nipped-B	<ul><li>Plays a structural role in chromatin. Involved in sister chromatid cohesion, probably via an interaction with the cohesin complex. Participates in the transcriptional activation mediated by remote enhancers on genes such as cut and Ubx, possibly by alleviating the cohesin-mediated blocking of enhancer-promoter communication.</ul>
Region1744	FBgn0033069	4004	Toll10b Down	Toll10b Down	A1Z6K7	Eukaryotic translation initiation factor 3 subunit F-2	eIF3f2	<ul><li>Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation.</ul>
Region1748	FBgn0033074	4033	Time Down	Toll9 Up	A1Z6L1	Mitochondrial import receptor subunit TOM40 homolog 2	tomboy40	<ul><li>Channel-forming protein essential for import of protein precursors into mitochondria.</ul>
Region1757	FBgn0086655	42898	Toll9 Up	Toll9 Up	Q7KHG2	Zinc finger protein jing	jing	<ul><li>May functionally interact with Polycomb group (PcG) and trithorax group (trxG) proteins to repress transcription (Probable). Required for Egfr pathway function and MAPK activity in CNS midline and tracheal placodes and for CNS axon development and tracheal tubule development. Required to establish the primary axon scaffold in the brain and for lateral positioning of longitudinal glia, longitudinal axons and neurons. Required for glial survival. Required to establish the proximo-distal axis of the developing leg and for wing vein and alula development. Required for regenerative growth in leg imaginal disks. Required for the initiation of anterior migration of border cells of the ovary.</ul>
Region1926	FBgn0003892	6452	Time Down	Toll10b Down	P18502	Protein patched	ptc	<ul><li>Segmentation polarity protein. Acts as a receptor for the hedgehog protein (HH). Associates with the smoothened protein (SMO) to transduce the hedgehog signal leading to the activation of wingless, decapentaplegic and patched itself. Participates in cell interactions that establish pattern within the segment and the imaginal disks during development. In the absence of HH, represses the constitutive signaling activity of smo through fused (FU).</ul>
Region2036	FBgn0011656	7810	Toll10b Up	Toll10b Up	P40791	Myocyte-specific enhancer factor 2	Mef2	<ul><li>Transcription factor that could be a key player in early mesoderm differentiation and may be required for subsequent cell fate specifications within the somatic and visceral/heart mesodermal layers (PubMed:7839146, PubMed:8052612, PubMed:8202544). Essential for myoblast fusion and consequently muscle formation in adults (PubMed:25797154). During embryonic and pupal development, binds to the enhancer of the myoblast fusion gene sing and activates its transcription (PubMed:25797154).</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q9V5M6	Longitudinals lacking protein, isoforms J/P/Q/S/Z	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	P42283	Longitudinals lacking protein, isoform G	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	P42284	Longitudinals lacking protein, isoforms H/M/V	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q7KQZ4	Longitudinals lacking protein, isoforms A/B/D/L	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q9V5M3	Longitudinals lacking protein, isoforms N/O/W/X/Y	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	FBgn0283521	6594	Toll9 Up	Time Up	Q9V5M6	Longitudinals lacking protein, isoforms J/P/Q/S/Z	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	FBgn0283521	6594	Toll9 Up	Time Up	P42283	Longitudinals lacking protein, isoform G	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	FBgn0283521	6594	Toll9 Up	Time Up	P42284	Longitudinals lacking protein, isoforms H/M/V	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	FBgn0283521	6594	Toll9 Up	Time Up	Q7KQZ4	Longitudinals lacking protein, isoforms A/B/D/L	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	FBgn0283521	6594	Toll9 Up	Time Up	Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2109	FBgn0283521	6594	Toll9 Up	Time Up	Q9V5M3	Longitudinals lacking protein, isoforms N/O/W/X/Y	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2227	FBgn0050035	4747	Gd7 Down	Toll9 Down	A1Z8N1	Facilitated trehalose transporter Tret1-1	Tret1-1	<ul><li>Low-capacity facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph.</ul>
Region2307	FBgn0003326	3073	Toll9 Up	Toll9 Up	P21520	Protein scabrous	sca	<ul><li>Involved in regulation of neurogenesis. May encode a lateral inhibitor of R8 differentiation. In conjunction with Gp150, promotes Notch activation in response to Delta by regulating acquisition of insensitivity to Delta in a subset of cells.</ul>
Region2350	FBgn0053182	3450	Toll9 Up	Time Up	Q9V6L0	Probable lysine-specific demethylase 4B	Kdm4B	<ul><li>Probable histone demethylase that specifically demethylates 'Lys-9' and 'Lys-36' residues of histone H3, thereby playing a central role in histone code. Demethylation of Lys residue generates formaldehyde and succinate (By similarity).</ul>
Region2456	FBgn0085408	2200	Toll9 Up	Time Down	A1Z9P3	Protein Shroom	Shrm	<ul><li>Binds to Rho-kinase Rok and targets it to the apical cell cortex where it mediates apical constriction (PubMed:20549743, PubMed:22493320). During embryogenic axis elongation, required for the localization to adherens junctions and the establishment of planar polarization of both Rho-kinase Rok and myosin regulatory light chain sqh (PubMed:24535826). May be involved in the assembly of microtubule arrays during cell elongation (By similarity).</ul>
Region2518	FBgn0015371	5136	Toll10b Down	Time Up	Q7YU81	Protein charlatan	chn	<ul><li>Probable transcription factor involved in the development of the adult pattern of macrochaetae. Required for accumulation of achaete (ac) and scute (sc) in proneural clusters. Probably acts by binding to the proneural cluster-specific enhancers of the ac/sc complex and increasing enhancer efficiency, thereby acting as a stimulator of ac/sc expression in proneural clusters. Also required for correct development of the embryonic/larval peripheral nervous system (PNS).</ul>
Region2533	FBgn0034013	4101	Time Up	Time Up	Q95TU8	Netrin receptor unc-5	unc-5	<ul><li>Receptor for netrin required for motor axon guidance. Mediates both short- and long-range axon motor repulsion in the developing nervous system upon ligand binding. Also involved in glial migration. While short-range repulsion requires both fra and unc-5, long-range repulsion only requires unc-5.</ul>
Region2534	FBgn0034013	3403	Time Up	Toll10b Up	Q95TU8	Netrin receptor unc-5	unc-5	<ul><li>Receptor for netrin required for motor axon guidance. Mediates both short- and long-range axon motor repulsion in the developing nervous system upon ligand binding. Also involved in glial migration. While short-range repulsion requires both fra and unc-5, long-range repulsion only requires unc-5.</ul>
Region2607	FBgn0029175	5395	Time Up	Time Up	Q9Y169	Exostosin-2	sotv	<ul><li>Glycosyltransferase required for the biosynthesis of heparan-sulfate and responsible for the alternating addition of beta-1-4-linked glucuronic acid (GlcA) and alpha-1-4-linked N-acetylglucosamine (GlcNAc) units to nascent heparan sulfate chains. Plays a central role in diffusion of morphogens hedgehog (hh), wingless (wg) and Decapentaplegic (dpp) via its role in heparan sulfate proteoglycans (HSPGs) biosynthesis, HSPGs being required for movement of Hh, Dpp and wg morphogens.</ul>
Region2608	FBgn0029175	6841	Time Up	Gd7 Down	Q9Y169	Exostosin-2	sotv	<ul><li>Glycosyltransferase required for the biosynthesis of heparan-sulfate and responsible for the alternating addition of beta-1-4-linked glucuronic acid (GlcA) and alpha-1-4-linked N-acetylglucosamine (GlcNAc) units to nascent heparan sulfate chains. Plays a central role in diffusion of morphogens hedgehog (hh), wingless (wg) and Decapentaplegic (dpp) via its role in heparan sulfate proteoglycans (HSPGs) biosynthesis, HSPGs being required for movement of Hh, Dpp and wg morphogens.</ul>
Region2651	FBgn0034157	1812	Time Down	Gd7 Down	Q9V7U0	Pro-resilin	resilin	<ul><li>Plays a central role in insect flight by providing low stiffness, high strain and efficient energy storage.</ul>
Region2723	FBgn0259211	3527	Toll10b Down	Toll10b Down	P13002	Protein grainyhead	grh	<ul><li>Binds a CNS-specific regulatory element of the Dopa decarboxylase (Ddc) gene. Also interacts with sequences adjacent to other transcription units, including Ultrabithorax (Ubx) and engrailed (en). Activity in vivo may be required only at high levels transiently to activate the expression of Ddc in the CNS.</ul>
Region2760	FBgn0034327	3231	Toll9 Up	Time Down	Q9V8F3	Protein GSKIP homolog		<ul><li></ul>
Region2762	FBgn0034327	1641	Toll9 Up	Time Down	Q9V8F3	Protein GSKIP homolog		<ul><li></ul>
Region2763	FBgn0034327	2790	Toll9 Up	Toll9 Up	Q9V8F3	Protein GSKIP homolog		<ul><li></ul>
Region2780	FBgn0034351	35248	Toll10b Up	Gd7 Up	Q7JUX9	Mitochondrial ribonuclease P protein 1 homolog	trmt10c	<ul><li>May function in mitochondrial tRNA maturation.</ul>
Region2973	FBgn0003391	2140	Toll9 Up	Toll10b Down	Q24298	DE-cadherin	shg	<ul><li>Cadherins are calcium-dependent cell adhesion proteins (PubMed:7958432). In connecting cells they preferentially interact with themselves in a homophilic manner; cadherins may thus contribute to the sorting of heterogeneous cell types (PubMed:7958432). During oogenesis, integral component of the guidance mechanisms that regulate the directional persistent collective migration of the border cell (BC) cluster through the nurse cells to the oocyte (PubMed:24855950, PubMed:30763317). Functions downstream of the two chemoattractant receptors, Pvr and Egfr, to promote BC adhesion between the leader cells of the migrating cluster and the surrounding nurse cells (PubMed:24855950). This adhesion increases Rac1 signaling in the leading cells, which in turn stabilizes DE-cadherin/DE-cadherin adhesions through the formation of forward-directed protrusions which attach/detach to the surrounding nurse cells in order to pull the cluster through the egg chamber to the oocyte (PubMed:24855950). Within the BC cluster, also promotes adhesion between BCs, and between BCs and polar cells which enables the lead BC to communicate direction to the other cells in the cluster, providing polarity to each individual cell and ensuring collective behavior (PubMed:24855950, PubMed:30763317). May function in cell intercalation in the lateral epidermis during germband extension (PubMed:24681004). Contributes to the determination of body left-right asymmetry by enhancing Myo31DF activity and inhibiting Myo61F activity (PubMed:22491943).</ul>
Region3039	FBgn0004362	7375	Time Down	Time Down	Q05783	High mobility group protein D	HmgD	<ul><li>Binds preferentially single-stranded DNA and unwinds double-stranded DNA. Prefers sites containing the sequence 5'-ttg-3'. Facilitates DNA bending. Associated with early embryonic chromatin in the absence of histone H1.</ul>
Region3238	FBgn0035028	2849	Toll10b Down	Toll10b Down	Q9W145	Steroidogenic acute regulatory protein-like	Start1	<ul><li>May bind to and transport cholesterol and may play a role in ecdysteroid biosynthesis.</ul>
Region3305	FBgn0052475	13976	Toll10b Down	Toll10b Down	Q9W0V7	Probable G-protein coupled receptor Mth-like 8	mthl8	<ul><li></ul>
Region3364	FBgn0035147	8016	Gd7 Down	Time Up	Q9W0P5	UDP-glucose 4-epimerase	Gale	<ul><li>Catalyzes two distinct but analogous reactions: the reversible epimerization of UDP-glucose to UDP-galactose and the reversible epimerization of UDP-N-acetylglucosamine to UDP-N-acetylgalactosamine (PubMed:20519568, PubMed:22654673). The reaction with UDP-Gal plays a critical role in the Leloir pathway of galactose catabolism in which galactose is converted to the glycolytic intermediate glucose 6-phosphate. It contributes to the catabolism of dietary galactose and enables the endogenous biosynthesis of both UDP-Gal and UDP-GalNAc when exogenous sources are limited (PubMed:22654673). Both UDP-sugar interconversions are important in the synthesis of glycoproteins and glycolipids.</ul>
Region3543	FBgn0263392	9489	Toll9 Up	Toll9 Up	M9NEY8	DNA N6-methyl adenine demethylase	Tet	<ul><li>Dioxygenase that specifically demethylates DNA methylated on the 6th position of adenine (N(6)-methyladenosine) DNA. N(6)-methyladenosine (m6A) DNA is present at a relatively high level at the very earliest embryonic stages but at low levels at the late embryonic stages and may act as a regulator of gene expression. Promotes differentiation of early germ cells in ovary.</ul>
Region3588	FBgn0014388	3954	Toll10b Up	Toll10b Up	O44783	Protein sprouty	sty	<ul><li>Inhibitor of tracheal branching that restricts branch budding by antagonizing the BNL-FGF pathway (BNL: branchless, an fgf inducer of branching). Acts as an antagonist of EGFR-mediated signaling in the eye (where it is important for cell determination) midline glia, chordotonal organs, wing and ovarian follicle cells.</ul>
