EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification	name	geneFunc	score	geneName	geneFuncFullText
Region385	chr2L	4281217	4283806	FBgn0010473	chr2L	4295225	4321061	11418	Gd7 Up	Time Down	Q967D7	Protein turtle	1000	tutl	<ul><li>Essential protein that plays a role in the establishment of coordinated motor control (PubMed:11312296). In the developing eye, involved in axonal targeting of the R7 photoreceptor (PubMed:24174674).</ul>
Region634	chr2L	7811303	7811724	FBgn0261800	chr2L	7814948	7820387	3223	Time Up	Time Up	P11046	Laminin subunit beta-1	1000	LanB1	<ul><li>Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components (By similarity). Required for Ndg localization to the basement membrane (PubMed:30260959).</ul>
Region645	chr2L	7993911	7994651	FBgn0031969	chr2L	7987880	7991480	2430	Time Up	Gd7 Down	B7Z031	Protein peste	1000	pes	<ul><li>(Microbial infection) Plays a role in mycobacterial infection. Mediates infection by M.fortuitum and uptake of M.smegmatis.</ul>
Region739	chr2L	9448129	9448818	FBgn0002973	chr2L	9460288	9462275	11469	Time Down	Gd7 Down	P16554	Protein numb	1000	numb	<ul><li>Required in determination of cell fate during sensory organ formation in embryos (PubMed:2752427). Restricts developmental potential and promote maturation of intermediary neuronal progenitor (INP) cells probably acting as an antagonist of Notch signaling (PubMed:24550111, PubMed:28899667, PubMed:18342578).</ul>
Region740	chr2L	9449025	9450175	FBgn0002973	chr2L	9460288	9462275	10112	Time Down	Gd7 Down	P16554	Protein numb	1000	numb	<ul><li>Required in determination of cell fate during sensory organ formation in embryos (PubMed:2752427). Restricts developmental potential and promote maturation of intermediary neuronal progenitor (INP) cells probably acting as an antagonist of Notch signaling (PubMed:24550111, PubMed:28899667, PubMed:18342578).</ul>
Region741	chr2L	9454216	9454870	FBgn0002973	chr2L	9460288	9462275	5417	Time Down	Gd7 Down	P16554	Protein numb	1000	numb	<ul><li>Required in determination of cell fate during sensory organ formation in embryos (PubMed:2752427). Restricts developmental potential and promote maturation of intermediary neuronal progenitor (INP) cells probably acting as an antagonist of Notch signaling (PubMed:24550111, PubMed:28899667, PubMed:18342578).</ul>
Region940	chr2L	12545652	12546882	FBgn0259176	chr2L	12457759	12539654	5997	Gd7 Up	Time Up	Q24523	Protein bunched, class 2/F/G isoform	1000	bun	<ul><li>Probable transcription factor required for peripheral nervous system morphogenesis, eye development and oogenesis. May be required for the transmission of the dpp signal and for a morphogenetic movement of the medulla in the brain that reorients the second optic lobe relative to the first. Plays a role in determining proper dorsal cell fates leading to the formation of the dorsal appendages.</ul>
Region940	chr2L	12545652	12546882	FBgn0259176	chr2L	12457759	12539654	5997	Gd7 Up	Time Up	Q24522	Protein bunched, class 1/class 3/D/E isoforms	1000	bun	<ul><li>Probable transcription factor required for peripheral nervous system morphogenesis, eye development and oogenesis. May be required for the transmission of the dpp signal and for a morphogenetic movement of the medulla in the brain that reorients the second optic lobe relative to the first. Plays a role in determining proper dorsal cell fates leading to the formation of the dorsal appendages.</ul>
Region1132	chr2L	15654064	15654581	FBgn0010382	chr2L	15728884	15746483	74302	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	1000	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1134	chr2L	15686748	15688180	FBgn0010382	chr2L	15728884	15746483	40703	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	1000	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1136	chr2L	15721743	15723172	FBgn0010382	chr2L	15728884	15746483	5711	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	1000	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1210	chr2L	16719665	16720059	FBgn0027779	chr2L	16723822	16727666	3762	Gd7 Down	Time Up	Q9V3J1	V-type proton ATPase subunit H	1000	VhaSFD	<ul><li>Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit H activates the ATPase activity of the enzyme and couples ATPase activity to proton flow. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system (By similarity).</ul>
Region1211	chr2L	16720311	16720811	FBgn0027779	chr2L	16723822	16727666	3010	Gd7 Down	Toll10b Up	Q9V3J1	V-type proton ATPase subunit H	1000	VhaSFD	<ul><li>Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit H activates the ATPase activity of the enzyme and couples ATPase activity to proton flow. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system (By similarity).</ul>
Region1251	chr2L	17748581	17749250	FBgn0015609	chr2L	17650387	17739518	9062	Toll10b Up	Toll10b Up	O15943	Neural-cadherin	1000	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
Region1265	chr2L	18149900	18150887	FBgn0032671	chr2L	18157212	18158540	6324	Gd7 Down	Toll9 Up	Q9VJ97	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog	1000		<ul><li></ul>
Region1266	chr2L	18151179	18151876	FBgn0032671	chr2L	18157212	18158540	5335	Gd7 Down	Gd7 Down	Q9VJ97	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog	1000		<ul><li></ul>
Region1267	chr2L	18152080	18152804	FBgn0032671	chr2L	18157212	18158540	4407	Gd7 Down	Gd7 Down	Q9VJ97	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog	1000		<ul><li></ul>
Region1336	chr2L	19137590	19137966	FBgn0086447	chr2L	19133055	19134980	2609	Toll9 Down	Gd7 Down	Q9VIZ0	Probable DNA-directed RNA polymerases I and III subunit RPAC2	1000	l(2)37Cg	<ul><li>DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common core component of RNA polymerases I and III which synthesize ribosomal RNA precursors and small RNAs, such as 5S rRNA and tRNAs, respectively (By similarity).</ul>
Region1337	chr2L	19139642	19140260	FBgn0086447	chr2L	19133055	19134980	4661	Toll9 Down	Time Down	Q9VIZ0	Probable DNA-directed RNA polymerases I and III subunit RPAC2	1000	l(2)37Cg	<ul><li>DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common core component of RNA polymerases I and III which synthesize ribosomal RNA precursors and small RNAs, such as 5S rRNA and tRNAs, respectively (By similarity).</ul>
Region1338	chr2L	19154708	19155440	FBgn0010300	chr2L	19168146	19177520	12705	Toll9 Up	Gd7 Down	Q8MQJ9	Brain tumor protein	1000	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1339	chr2L	19155998	19157299	FBgn0010300	chr2L	19168146	19177520	10846	Toll9 Up	Time Down	Q8MQJ9	Brain tumor protein	1000	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1340	chr2L	19157889	19159217	FBgn0010300	chr2L	19168146	19177520	8928	Toll9 Up	Gd7 Down	Q8MQJ9	Brain tumor protein	1000	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1341	chr2L	19160645	19160995	FBgn0010300	chr2L	19168146	19177520	7150	Toll9 Up	Toll9 Up	Q8MQJ9	Brain tumor protein	1000	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1342	chr2L	19161225	19162015	FBgn0010300	chr2L	19168146	19177520	6130	Toll9 Up	Toll9 Up	Q8MQJ9	Brain tumor protein	1000	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1343	chr2L	19162388	19162777	FBgn0010300	chr2L	19168146	19177520	5368	Toll9 Up	Toll10b Down	Q8MQJ9	Brain tumor protein	1000	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1344	chr2L	19164583	19166351	FBgn0010300	chr2L	19168146	19177520	1794	Toll9 Up	Time Down	Q8MQJ9	Brain tumor protein	1000	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1353	chr2L	19322508	19323095	FBgn0024245	chr2L	19339168	19362839	16072	Time Down	Toll10b Up	Q9V422	Tyrosine-protein kinase Dnt	1000	dnt	<ul><li>May play an essential role in neuronal pathway recognition and ventral muscle attachment site selection.</ul>
Region1356	chr2L	19326687	19327913	FBgn0024245	chr2L	19339168	19362839	11254	Time Down	Toll9 Up	Q9V422	Tyrosine-protein kinase Dnt	1000	dnt	<ul><li>May play an essential role in neuronal pathway recognition and ventral muscle attachment site selection.</ul>
Region1358	chr2L	19333760	19334442	FBgn0024245	chr2L	19339168	19362839	4725	Time Down	Toll9 Up	Q9V422	Tyrosine-protein kinase Dnt	1000	dnt	<ul><li>May play an essential role in neuronal pathway recognition and ventral muscle attachment site selection.</ul>
Region1379	chr2L	19571449	19572870	FBgn0005672	chr2L	19568296	19568997	2451	Time Up	Time Up	Q01083	Protein spitz	1000	spi	<ul><li>Ligand for the EGF receptor (Gurken). Involved in a number of unrelated developmental choices, for example, dorsal-ventral axis formation, glial migration, sensory organ determination, and muscle development. It is required for photoreceptor determination.</ul>
Region1600	chr2L	21843294	21844065	FBgn0003866	chr2L	21829806	21836179	7114	Time Up	Time Up	P22265	Protein teashirt	1000	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1602	chr2L	21847442	21848099	FBgn0003866	chr2L	21829806	21836179	11262	Time Up	Time Down	P22265	Protein teashirt	1000	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1603	chr2L	21851329	21851861	FBgn0003866	chr2L	21829806	21836179	15149	Time Up	Time Up	P22265	Protein teashirt	1000	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1604	chr2L	21853265	21854009	FBgn0003866	chr2L	21829806	21836179	17085	Time Up	Time Down	P22265	Protein teashirt	1000	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1605	chr2L	21855695	21856224	FBgn0003866	chr2L	21829806	21836179	19515	Time Up	Toll9 Up	P22265	Protein teashirt	1000	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
