Chr	Start	End	Target	Score	IM_PET
chr2L	101686	103686	GluRIIC	0.946	0
chr2L	105201	107201	CG11377	0.996	0
chr2L	105201	107201	FBgn0041250	0.979	0
chr2L	105201	107201	FBgn0031279	0.979	0
chr2L	113721	115721	CG31974	0.93	0
chr2L	113721	115721	FBgn0041250	0.977	0
chr2L	113721	115721	FBgn0031279	0.977	0
chr2L	113729	115729	CG31974	0.93	0
chr2L	113729	115729	FBgn0041250	0.977	0
chr2L	113729	115729	FBgn0031279	0.977	0
chr2L	114217	116217	FBgn0041250	0.977	0
chr2L	114217	116217	FBgn0031279	0.977	0
chr2L	114217	116217	GluRIIC	0.924	0
chr2L	142797	144797	GluRIIC	0.926	0
chr2L	142797	144797	mtRNApol	0.937	0
chr2L	142797	144797	CG14339	0.942	0
chr2L	181868	183868	GluRIIC	0.96	0
chr2L	181868	183868	CG14339	0.941	0
chr2L	181868	183868	Charon	0.944	0
chr2L	182424	184424	GluRIIC	0.962	0
chr2L	182424	184424	CG14339	0.941	0
chr2L	182424	184424	Charon	0.944	0
chr2L	202793	204793	GluRIIC	0.974	0
chr2L	202793	204793	CG14341	0.936	0
chr2L	202793	204793	Charon	0.959	0
chr2L	203146	205146	GluRIIC	0.977	0
chr2L	203146	205146	CG14341	0.936	0
chr2L	203146	205146	Charon	0.959	0
chr2L	203217	205217	GluRIIC	0.977	0
chr2L	203217	205217	CG14341	0.936	0
chr2L	203217	205217	Charon	0.959	0
chr2L	218766	220766	GluRIIC	0.98	0
chr2L	218766	220766	Charon	0.957	0
chr2L	218766	220766	FBgn0031323	0.943	0
chr2L	219123	221123	GluRIIC	0.98	0
chr2L	219123	221123	Charon	0.957	0
chr2L	219123	221123	FBgn0031323	0.947	0
chr2L	219484	221484	GluRIIC	0.98	0
chr2L	219484	221484	Charon	0.957	0
chr2L	219484	221484	FBgn0031323	0.947	0
chr2L	220020	222020	GluRIIC	0.98	0
chr2L	220020	222020	Charon	0.957	0
chr2L	220020	222020	FBgn0031323	0.947	0
chr2L	223463	225463	GluRIIC	0.98	0
chr2L	223463	225463	Charon	0.957	0
chr2L	223463	225463	FBgn0031323	0.949	0
chr2L	223988	225988	GluRIIC	0.98	0
chr2L	223988	225988	Charon	0.957	0
chr2L	223988	225988	FBgn0031323	0.952	0
chr2L	243627	245627	FBgn0031299	0.957	0
chr2L	243627	245627	Pino	0.93	0
chr2L	243627	245627	CG4577	0.923	0
chr2L	244641	246641	mbm	0.946	0
chr2L	244641	246641	FBgn0031299	0.957	0
chr2L	244641	246641	Pino	0.931	0
chr2L	244953	246953	mbm	0.927	0
chr2L	244953	246953	FBgn0031299	0.957	0
chr2L	244953	246953	Pino	0.931	0
chr2L	245339	247339	FBgn0031299	0.957	0
chr2L	245339	247339	Pino	0.931	0
chr2L	245339	247339	CG4577	0.923	0
chr2L	245404	247404	FBgn0031299	0.957	0
chr2L	245404	247404	Pino	0.931	0
chr2L	245404	247404	CG4577	0.922	0
chr2L	247903	249903	FBgn0031299	0.955	0
chr2L	247903	249903	Pino	0.931	0
chr2L	247903	249903	CG4552	0.934	0
chr2L	249828	251828	FBgn0031299	0.955	0
chr2L	249828	251828	Pino	0.931	0
chr2L	249828	251828	CG4552	0.945	0
chr2L	251360	253360	FBgn0031299	0.954	0
chr2L	251360	253360	Pino	0.931	0
chr2L	251360	253360	CG4552	0.945	0
chr2L	279729	281729	CG42399	0.939	0
chr2L	279729	281729	CG4552	0.969	0
chr2L	279729	281729	CG4577	0.965	0
chr2L	294708	296708	Pi3K21B	0.986	0
chr2L	294708	296708	CG4552	0.963	0
chr2L	294708	296708	CG4577	0.965	0
chr2L	297021	299021	FBgn0031248	0.956	0
chr2L	297021	299021	CG4552	0.962	0
chr2L	297021	299021	CG4577	0.963	0
chr2L	297480	299480	mbm	0.95	0
chr2L	297480	299480	CG4552	0.962	0
chr2L	297480	299480	CG4577	0.963	0
chr2L	403693	405693	FBgn0031249	0.966	0
chr2L	403693	405693	FBgn0031299	0.972	0
chr2L	403693	405693	CG4552	0.971	0
chr2L	403693	405693	CG4577	0.966	0
chr2L	412975	414975	RpLP1	0.993	0
chr2L	412975	414975	CG4552	0.974	0
chr2L	412975	414975	CG4577	0.973	0
chr2L	430282	432282	Pino	0.966	0
chr2L	430282	432282	CG4552	0.984	0
chr2L	430282	432282	CG4577	0.983	0
chr2L	430704	432704	Pino	0.966	0
chr2L	430704	432704	CG4552	0.984	0
chr2L	430704	432704	CG4577	0.983	0
chr2L	441192	443192	Pino	0.964	0
chr2L	441192	443192	CG4552	0.984	0
chr2L	441192	443192	CG4577	0.984	0
chr2L	441896	443896	Pino	0.963	0
chr2L	441896	443896	CG4552	0.984	0
chr2L	441896	443896	CG4577	0.984	0
chr2L	518455	520455	CG11601	0.956	0
chr2L	518455	520455	Nle	0.95	0
chr2L	518455	520455	cold	0.941	0
chr2L	519490	521490	CG11601	0.953	0
chr2L	519490	521490	Nle	0.958	0
chr2L	519490	521490	FBgn0051924	0.94	0
chr2L	541068	543068	FBgn0031249	0.93	0
chr2L	541068	543068	FBgn0051924	0.928	0
chr2L	541068	543068	Or22a	0.954	0
chr2L	601807	603807	Spp	0.926	0
chr2L	601807	603807	FBgn0263320	0.959	0
chr2L	601807	603807	Or22a	0.929	0
chr2L	602266	604266	FBgn0263320	0.959	0
chr2L	602266	604266	Or22a	0.929	0
chr2L	602266	604266	Or22b	0.916	0
chr2L	809638	811638	Nhe1	0.971	0
chr2L	809638	811638	CG31975	0.961	0
chr2L	809638	811638	FBgn0051928	0.981	0
chr2L	809638	811638	FBgn0045498	0.961	0
chr2L	821003	823003	FBgn0031283	0.972	0
chr2L	821003	823003	FBgn0051928	0.979	0
chr2L	821003	823003	FBgn0045498	0.966	0
chr2L	824395	826395	CG31975	0.965	0
chr2L	824395	826395	FBgn0051928	0.979	0
chr2L	824395	826395	FBgn0045498	0.966	0
chr2L	825525	827525	CG31975	0.965	0
chr2L	825525	827525	FBgn0051928	0.979	0
chr2L	825525	827525	FBgn0045498	0.966	0
chr2L	847204	849204	CG31975	0.962	0
chr2L	847204	849204	FBgn0031288	0.987	0
chr2L	847204	849204	FBgn0045498	0.976	0
chr2L	871058	873058	CG31975	0.944	0
chr2L	871058	873058	CG14339	0.961	0
chr2L	871058	873058	FBgn0045498	0.936	0
chr2L	1064641	1066641	Nhe1	0.959	0
chr2L	1064641	1066641	CG43755	0.959	0
chr2L	1064641	1066641	RpI135	0.972	0
chr2L	1064641	1066641	FBgn0045498	0.971	0
chr2L	1065112	1067112	Nhe1	0.959	0
chr2L	1065112	1067112	CG43755	0.959	0
chr2L	1065112	1067112	RpI135	0.972	0
chr2L	1065112	1067112	FBgn0045498	0.971	0
chr2L	1066634	1068634	RpI135	0.977	0
chr2L	1066634	1068634	AP-2alpha	0.963	0
chr2L	1066634	1068634	FBgn0045498	0.973	0
chr2L	1067271	1069271	RpI135	0.977	0
chr2L	1067271	1069271	Atg4a	0.976	0
chr2L	1067271	1069271	FBgn0045498	0.973	0
chr2L	1067439	1069439	RpI135	0.977	0
chr2L	1067439	1069439	AP-2alpha	0.963	0
chr2L	1067439	1069439	FBgn0045498	0.973	0
chr2L	1067636	1069636	RpI135	0.977	0
chr2L	1067636	1069636	AP-2alpha	0.963	0
chr2L	1067636	1069636	FBgn0045498	0.972	0
chr2L	1068061	1070061	RpI135	0.977	0
chr2L	1068061	1070061	AP-2alpha	0.963	0
chr2L	1068061	1070061	FBgn0045498	0.972	0
chr2L	1068430	1070430	RpI135	0.977	0
chr2L	1068430	1070430	AP-2alpha	0.964	0
chr2L	1068430	1070430	FBgn0045498	0.972	0
chr2L	1068615	1070615	RpI135	0.977	0
chr2L	1068615	1070615	AP-2alpha	0.964	0
chr2L	1068615	1070615	FBgn0045498	0.972	0
chr2L	1079943	1081943	RpI135	0.979	0
chr2L	1079943	1081943	AP-2alpha	0.971	0
chr2L	1079943	1081943	FBgn0045498	0.981	0
chr2L	1116631	1118631	RpI135	0.971	0
chr2L	1116631	1118631	AP-2alpha	0.971	0
chr2L	1116631	1118631	FBgn0045498	0.981	0
chr2L	1117157	1119157	RpI135	0.971	0
chr2L	1117157	1119157	AP-2alpha	0.971	0
chr2L	1117157	1119157	FBgn0045498	0.98	0
chr2L	1117281	1119281	RpI135	0.971	0
chr2L	1117281	1119281	AP-2alpha	0.971	0
chr2L	1117281	1119281	FBgn0045498	0.98	0
chr2L	1146831	1148831	ex	0.963	0
chr2L	1146831	1148831	crq	0.974	0
chr2L	1146831	1148831	capt	0.993	0
chr2L	1146831	1148831	FBgn0031372	0.963	0
chr2L	1147175	1149175	ex	0.963	0
chr2L	1147175	1149175	crq	0.974	0
chr2L	1147175	1149175	capt	0.996	0
chr2L	1147175	1149175	FBgn0031372	0.963	0
chr2L	1147266	1149266	ex	0.963	0
chr2L	1147266	1149266	crq	0.974	0
chr2L	1147266	1149266	capt	0.996	0
chr2L	1147266	1149266	FBgn0031372	0.963	0
chr2L	1172459	1174459	kis	0.965	0
chr2L	1172459	1174459	CG4896	0.967	0
chr2L	1172459	1174459	CG11723	0.96	0
chr2L	1176973	1178973	kis	0.965	0
chr2L	1176973	1178973	tho2	0.959	0
chr2L	1176973	1178973	CG11723	0.96	0
chr2L	1177222	1179222	kis	0.965	0
chr2L	1177222	1179222	tho2	0.959	0
chr2L	1177222	1179222	CG11723	0.96	0
chr2L	1183077	1185077	kis	0.966	0
chr2L	1183077	1185077	CG4896	0.979	0
chr2L	1183077	1185077	CG11723	0.959	0
chr2L	1183471	1185471	kis	0.966	0
chr2L	1183471	1185471	tho2	0.957	0
chr2L	1183471	1185471	CG11723	0.959	0
chr2L	1404222	1406222	FBgn0031337	0.964	0
chr2L	1404222	1406222	FBgn0263321	0.969	0
chr2L	1404222	1406222	Atxn7	0.966	0
chr2L	1404688	1406688	FBgn0031337	0.965	0
chr2L	1404688	1406688	FBgn0052463	0.955	0
chr2L	1404688	1406688	Atxn7	0.966	0
chr2L	1405230	1407230	cold	0.954	0
chr2L	1405230	1407230	FBgn0031337	0.974	0
chr2L	1405230	1407230	FBgn0052463	0.954	0
chr2L	1405230	1407230	Atxn7	0.966	0
chr2L	1405364	1407364	cold	0.954	0
chr2L	1405364	1407364	FBgn0031337	0.958	0
chr2L	1405364	1407364	FBgn0052463	0.954	0
chr2L	1405364	1407364	Atxn7	0.966	0
chr2L	1419804	1421804	cold	0.962	0
chr2L	1419804	1421804	tho2	0.96	0
chr2L	1419804	1421804	CG11723	0.96	0
chr2L	1419804	1421804	Atxn7	0.963	0
chr2L	1421948	1423948	cold	0.962	0
chr2L	1421948	1423948	CG11723	0.961	0
chr2L	1421948	1423948	Atxn7	0.963	0
chr2L	1461700	1463700	Saf6	0.965	0
chr2L	1461700	1463700	tho2	0.968	0
chr2L	1461700	1463700	CG11723	0.974	0
chr2L	1461905	1463905	Saf6	0.965	0
chr2L	1461905	1463905	tho2	0.968	0
chr2L	1461905	1463905	CG11723	0.974	0
chr2L	1462523	1464523	Saf6	0.965	0
chr2L	1462523	1464523	tho2	0.968	0
chr2L	1462523	1464523	CG11723	0.972	0
chr2L	1463155	1465155	Saf6	0.965	0
chr2L	1463155	1465155	tho2	0.968	0
chr2L	1463155	1465155	CG11723	0.972	0
chr2L	1463456	1465456	Saf6	0.965	0
chr2L	1463456	1465456	tho2	0.967	0
chr2L	1463456	1465456	CG11723	0.972	0
chr2L	1472835	1474835	Saf6	0.973	0
chr2L	1472835	1474835	FBgn0053128	0.991	0
chr2L	1472835	1474835	CG11723	0.971	0
chr2L	1473102	1475102	Saf6	0.973	0
chr2L	1473102	1475102	Pex12	0.97	0
chr2L	1473102	1475102	CG11723	0.971	0
chr2L	1501427	1503427	Saf6	0.982	0
chr2L	1501427	1503427	Pex12	0.98	0
chr2L	1501427	1503427	CG18131	0.979	0
chr2L	1501860	1503860	Saf6	0.982	0
chr2L	1501860	1503860	Pex12	0.98	0
chr2L	1501860	1503860	dock	0.977	0
chr2L	1516479	1518479	Saf6	0.98	0
chr2L	1516479	1518479	Pex12	0.98	0
chr2L	1516479	1518479	dock	0.98	0
chr2L	1612652	1614652	GluRIIC	0.98	0
chr2L	1612652	1614652	FBgn0031407	0.963	0
chr2L	1612652	1614652	FBgn0261523	0.979	0
chr2L	1612904	1614904	GluRIIC	0.98	0
chr2L	1612904	1614904	FBgn0031407	0.963	0
chr2L	1612904	1614904	FBgn0261523	0.978	0
chr2L	1678435	1680435	GluRIIC	0.927	0
chr2L	1678435	1680435	FBgn0031424	0.968	0
chr2L	1678435	1680435	FBgn0026395	0.957	0
chr2L	1678455	1680455	GluRIIC	0.927	0
chr2L	1678455	1680455	FBgn0031424	0.968	0
chr2L	1678455	1680455	FBgn0026395	0.957	0
chr2L	1678749	1680749	GluRIIC	0.927	0
chr2L	1678749	1680749	FBgn0031424	0.97	0
chr2L	1678749	1680749	FBgn0026395	0.957	0
chr2L	1678774	1680774	GluRIIC	0.927	0
chr2L	1678774	1680774	FBgn0031424	0.97	0
chr2L	1678774	1680774	FBgn0026395	0.957	0
chr2L	1704125	1706125	FBgn0041250	0.961	0
chr2L	1704125	1706125	FBgn0031279	0.961	0
chr2L	1704125	1706125	FBgn0031424	0.981	0
chr2L	1704165	1706165	FBgn0041250	0.961	0
chr2L	1704165	1706165	FBgn0031279	0.961	0
chr2L	1704165	1706165	FBgn0031424	0.981	0
chr2L	1708842	1710842	FBgn0041250	0.964	0
chr2L	1708842	1710842	FBgn0031279	0.961	0
chr2L	1708842	1710842	FBgn0031424	0.981	0
chr2L	1709961	1711961	FBgn0041250	0.964	0
chr2L	1709961	1711961	FBgn0031424	0.981	0
chr2L	1709961	1711961	FBgn0026395	0.969	0
chr2L	1714487	1716487	FBgn0041250	0.974	0
chr2L	1714487	1716487	frtz	0.986	0
chr2L	1714487	1716487	FBgn0031424	0.981	0
chr2L	1714817	1716817	FBgn0041250	0.974	0
chr2L	1714817	1716817	FBgn0031424	0.981	0
chr2L	1714817	1716817	FBgn0026395	0.971	0
chr2L	1723314	1725314	FBgn0041250	0.972	0
chr2L	1723314	1725314	FBgn0031279	0.974	0
chr2L	1723314	1725314	FBgn0031424	0.979	0
chr2L	1727082	1729082	FBgn0041250	0.963	0
chr2L	1727082	1729082	FBgn0031279	0.968	0
chr2L	1727082	1729082	FBgn0031424	0.979	0
chr2L	1884709	1886709	GluRIIC	0.965	0
chr2L	1884709	1886709	Charon	0.964	0
chr2L	1884709	1886709	FBgn0031323	0.968	0
chr2L	1885879	1887879	GluRIIC	0.965	0
chr2L	1885879	1887879	Charon	0.964	0
chr2L	1885879	1887879	FBgn0031323	0.968	0
chr2L	1886468	1888468	GluRIIC	0.964	0
chr2L	1886468	1888468	Charon	0.964	0
chr2L	1886468	1888468	FBgn0031323	0.968	0
chr2L	1973112	1975112	CG14339	0.929	0
chr2L	1973112	1975112	CG4238	0.926	0
chr2L	1973112	1975112	FBgn0026395	0.975	0
chr2L	1973166	1975166	CG14339	0.929	0
chr2L	1973166	1975166	CG4238	0.949	0
chr2L	1973166	1975166	FBgn0026395	0.975	0
chr2L	1973478	1975478	erm	0.939	0
chr2L	1973478	1975478	CG4238	0.968	0
chr2L	1973478	1975478	FBgn0026395	0.975	0
chr2L	1978724	1980724	CG15356	0.969	0
chr2L	1978724	1980724	Got2	0.946	0
chr2L	1978724	1980724	FBgn0026395	0.975	0
chr2L	2012456	2014456	Charon	0.962	0
chr2L	2012456	2014456	CG4238	0.977	0
chr2L	2012456	2014456	CG2991	0.958	0
chr2L	2012754	2014754	Charon	0.962	0
chr2L	2012754	2014754	CG4238	0.979	0
chr2L	2012754	2014754	CG2991	0.958	0
chr2L	2036675	2038675	mtRNApol	0.951	0
chr2L	2036675	2038675	CG2991	0.955	0
chr2L	2036675	2038675	CG17258	0.951	0
chr2L	2044956	2046956	CG14339	0.956	0
chr2L	2044956	2046956	CG4238	0.966	0
chr2L	2044956	2046956	CG2991	0.953	0
chr2L	2144019	2146019	FBgn0263320	0.971	0
chr2L	2144019	2146019	CG8814	0.964	0
chr2L	2144019	2146019	CG9643	0.959	0
chr2L	2150774	2152774	FBgn0051928	0.973	0
chr2L	2150774	2152774	aop	0.984	0
chr2L	2150774	2152774	CG2991	0.964	0
chr2L	2150774	2152774	FBgn0005779	0.964	0
chr2L	2151484	2153484	FBgn0051928	0.974	0
chr2L	2151484	2153484	aop	0.999	0
chr2L	2151484	2153484	CG2991	0.964	0
chr2L	2151484	2153484	FBgn0005779	0.964	0
chr2L	2159779	2161779	FBgn0051928	0.979	0
chr2L	2159779	2161779	CG2991	0.972	0
chr2L	2159779	2161779	FBgn0005779	0.964	0
chr2L	2160421	2162421	FBgn0051928	0.979	0
chr2L	2160421	2162421	aop	0.99	0
chr2L	2160421	2162421	CG2991	0.973	0
chr2L	2163027	2165027	FBgn0051928	0.98	0
chr2L	2163027	2165027	FBgn0031389	0.979	0
chr2L	2163027	2165027	CG2991	0.974	0
chr2L	2163541	2165541	FBgn0051928	0.98	0
chr2L	2163541	2165541	aop	0.994	0
chr2L	2163541	2165541	CG2991	0.974	0
chr2L	2163713	2165713	FBgn0051928	0.98	0
chr2L	2163713	2165713	aop	0.981	0
chr2L	2163713	2165713	CG2991	0.974	0
chr2L	2166543	2168543	FBgn0051928	0.981	0
chr2L	2166543	2168543	CG2991	0.974	0
chr2L	2166543	2168543	FBgn0005779	0.973	0
chr2L	2168803	2170803	FBgn0051928	0.981	0
chr2L	2168803	2170803	CG2991	0.974	0
chr2L	2168803	2170803	FBgn0005779	0.975	0
chr2L	2169400	2171400	FBgn0051928	0.981	0
chr2L	2169400	2171400	CG2991	0.974	0
chr2L	2169400	2171400	FBgn0005779	0.975	0
chr2L	2169762	2171762	FBgn0051928	0.981	0
chr2L	2169762	2171762	CG2991	0.974	0
chr2L	2169762	2171762	FBgn0005779	0.975	0
chr2L	2170742	2172742	FBgn0051928	0.981	0
chr2L	2170742	2172742	CG2991	0.974	0
chr2L	2170742	2172742	FBgn0005779	0.975	0
chr2L	2171847	2173847	FBgn0051928	0.981	0
chr2L	2171847	2173847	CG2991	0.974	0
chr2L	2171847	2173847	FBgn0005779	0.975	0
chr2L	2171904	2173904	FBgn0051928	0.981	0
chr2L	2171904	2173904	CG2991	0.974	0
chr2L	2171904	2173904	FBgn0005779	0.975	0
chr2L	2172299	2174299	FBgn0051928	0.981	0
chr2L	2172299	2174299	CG2991	0.974	0
chr2L	2172299	2174299	FBgn0005779	0.975	0
chr2L	2173439	2175439	FBgn0051928	0.981	0
chr2L	2173439	2175439	CG2991	0.974	0
chr2L	2173439	2175439	FBgn0005779	0.975	0
chr2L	2173748	2175748	FBgn0051928	0.981	0
chr2L	2173748	2175748	CG2991	0.974	0
chr2L	2173748	2175748	FBgn0005779	0.975	0
chr2L	2174345	2176345	FBgn0051928	0.983	0
chr2L	2174345	2176345	CG2991	0.974	0
chr2L	2174345	2176345	FBgn0005779	0.975	0
chr2L	2174770	2176770	FBgn0051928	0.983	0
chr2L	2174770	2176770	CG2991	0.974	0
chr2L	2174770	2176770	FBgn0005779	0.975	0
chr2L	2175012	2177012	FBgn0051928	0.983	0
chr2L	2175012	2177012	CG2991	0.974	0
chr2L	2175012	2177012	FBgn0005779	0.975	0
chr2L	2175025	2177025	FBgn0051928	0.983	0
chr2L	2175025	2177025	CG2991	0.974	0
chr2L	2175025	2177025	FBgn0005779	0.975	0
chr2L	2176004	2178004	FBgn0051928	0.983	0
chr2L	2176004	2178004	CG2991	0.974	0
chr2L	2176004	2178004	FBgn0005779	0.975	0
chr2L	2177464	2179464	FBgn0051928	0.983	0
chr2L	2177464	2179464	CG2991	0.974	0
chr2L	2177464	2179464	FBgn0005779	0.967	0
chr2L	2181497	2183497	FBgn0051928	0.983	0
chr2L	2181497	2183497	CG2991	0.972	0
chr2L	2181497	2183497	CG17258	0.966	0
chr2L	2181584	2183584	FBgn0051928	0.983	0
chr2L	2181584	2183584	CG2991	0.972	0
chr2L	2181584	2183584	CG17258	0.966	0
chr2L	2182373	2184373	FBgn0051928	0.983	0
chr2L	2182373	2184373	CG2991	0.972	0
chr2L	2182373	2184373	CG17258	0.966	0
chr2L	2213233	2215233	Or22a	0.974	0
chr2L	2213233	2215233	CG8814	0.973	0
chr2L	2213233	2215233	CG44002	0.964	0
chr2L	2235417	2237417	Or22a	0.964	0
chr2L	2235417	2237417	mio	0.963	0
chr2L	2235417	2237417	CG44002	0.974	0
chr2L	2235833	2237833	Or22a	0.964	0
chr2L	2235833	2237833	CG42371	0.97	0
chr2L	2235833	2237833	CG44002	0.974	0
chr2L	2356352	2358352	FBgn0263320	0.964	0
chr2L	2356352	2358352	alpha4GT1	0.966	0
chr2L	2356352	2358352	Sf3b2	0.979	0
chr2L	2420256	2422256	FBgn0263320	0.95	0
chr2L	2420256	2422256	CG31948	0.942	0
chr2L	2420256	2422256	dpp	0.938	0
chr2L	2454222	2456222	Or22a	0.969	0
chr2L	2454222	2456222	CG44002	0.971	0
chr2L	2454222	2456222	FBgn0031520	0.931	0
chr2L	2455226	2457226	Or22a	0.969	0
chr2L	2455226	2457226	CG44002	0.971	0
chr2L	2455226	2457226	FBgn0031520	0.931	0
chr2L	2455430	2457430	Or22a	0.969	0
chr2L	2455430	2457430	CG44002	0.971	0
chr2L	2455430	2457430	FBgn0031520	0.931	0
chr2L	2455530	2457530	Or22a	0.969	0
chr2L	2455530	2457530	CG44002	0.971	0
chr2L	2455530	2457530	FBgn0031520	0.931	0
chr2L	2456003	2458003	Or22a	0.969	0
chr2L	2456003	2458003	CG44002	0.971	0
chr2L	2456003	2458003	FBgn0031520	0.931	0
chr2L	2457342	2459342	Or22a	0.969	0
chr2L	2457342	2459342	dpp	0.984	0
chr2L	2457342	2459342	CG44002	0.974	0
chr2L	2458020	2460020	Or22a	0.969	0
chr2L	2458020	2460020	dpp	0.998	0
chr2L	2458020	2460020	CG44002	0.975	0
chr2L	2460373	2462373	Or22a	0.969	0
chr2L	2460373	2462373	CG44002	0.978	0
chr2L	2460373	2462373	FBgn0031520	0.943	0
chr2L	2579855	2581855	eys	0.916	0
chr2L	2579855	2581855	FBgn0031520	0.942	0
chr2L	2579855	2581855	CG17593	0.924	0
chr2L	2583891	2585891	ND-B17.2	0.972	0
chr2L	2583891	2585891	FBgn0250835	0.946	0
chr2L	2583891	2585891	FBgn0263322	0.964	0
chr2L	2584351	2586351	FBgn0263322	0.925	0
chr2L	2584351	2586351	FBgn0031520	0.941	0
chr2L	2584351	2586351	CG17593	0.916	0
chr2L	2746925	2748925	FBgn0045498	0.966	0
chr2L	2746925	2748925	FBgn0031533	0.983	0
chr2L	2746925	2748925	Snx1	0.98	0
chr2L	2746925	2748925	cutlet	0.966	0
chr2L	2747483	2749483	FBgn0045498	0.966	0
chr2L	2747483	2749483	FBgn0031533	0.983	0
chr2L	2747483	2749483	Snx1	0.98	0
chr2L	2747483	2749483	cutlet	0.966	0
chr2L	2813478	2815478	tho2	0.968	0
chr2L	2813478	2815478	CG11723	0.97	0
chr2L	2813478	2815478	daw	0.969	0
chr2L	2813891	2815891	tho2	0.968	0
chr2L	2813891	2815891	CG11723	0.97	0
chr2L	2813891	2815891	daw	0.986	0
chr2L	2885646	2887646	FBgn0051668	0.966	0
chr2L	2885646	2887646	lilli	0.987	0
chr2L	2885646	2887646	cutlet	0.958	0
chr2L	2968020	2970020	FBgn0031407	0.977	0
chr2L	2968020	2970020	FBgn0261523	0.979	0
chr2L	2968020	2970020	fred	0.974	0
chr2L	2968641	2970641	FBgn0031407	0.977	0
chr2L	2968641	2970641	FBgn0261523	0.979	0
chr2L	2968641	2970641	fred	0.974	0
chr2L	2992575	2994575	tho2	0.958	0
chr2L	2992575	2994575	CG11723	0.962	0
chr2L	2992575	2994575	eys	0.963	0
chr2L	2998656	3000656	tho2	0.958	0
chr2L	2998656	3000656	CG11723	0.958	0
chr2L	2998656	3000656	eys	0.965	0
chr2L	3021609	3023609	eys	0.967	0
chr2L	3021609	3023609	Sf3b2	0.958	0
chr2L	3021609	3023609	FBgn0264341	0.961	0
chr2L	3047435	3049435	Atxn7	0.977	0
chr2L	3047435	3049435	CG17219	0.974	0
chr2L	3047435	3049435	FBgn0264341	0.963	0
chr2L	3070317	3072317	GlyP	0.971	0
chr2L	3070317	3072317	FBgn0031424	0.977	0
chr2L	3070317	3072317	FBgn0031580	0.969	0
chr2L	3070749	3072749	GlyP	0.971	0
chr2L	3070749	3072749	FBgn0031424	0.977	0
chr2L	3070749	3072749	FBgn0031580	0.969	0
chr2L	3071558	3073558	GlyP	0.969	0
chr2L	3071558	3073558	FBgn0031424	0.977	0
chr2L	3071558	3073558	FBgn0031580	0.969	0
chr2L	3159609	3161609	Slh	0.978	0
chr2L	3159609	3161609	CG3542	0.962	0
chr2L	3159609	3161609	FBgn0264341	0.96	0
chr2L	3169612	3171612	FBgn0052463	0.962	0
chr2L	3169612	3171612	Slh	0.98	0
chr2L	3169612	3171612	FBgn0264341	0.957	0
chr2L	3169866	3171866	FBgn0052463	0.97	0
chr2L	3169866	3171866	Slh	0.98	0
chr2L	3169866	3171866	FBgn0264341	0.957	0
chr2L	3170066	3172066	FBgn0052463	0.969	0
chr2L	3170066	3172066	Slh	0.98	0
chr2L	3170066	3172066	CG34393	0.997	0
chr2L	3451494	3453494	CG9960	0.982	0
chr2L	3451494	3453494	Tnpo-SR	0.981	0
chr2L	3451494	3453494	colt	0.974	0
chr2L	3451856	3453856	CG9960	0.982	0
chr2L	3451856	3453856	Tnpo-SR	0.981	0
